ags5,date,ground_truth,pred,error
1056,8/31/2018,4.7,4.778836,0.078835773
1056,9/30/2018,4.3,4.7517776,0.451777649
1056,10/31/2018,4.3,4.428805,0.128804874
1056,11/30/2018,4.2,4.417457,0.217457104
1056,12/31/2018,4.3,4.5165515,0.216551495
1056,1/31/2019,4.8,4.5530524,0.246947575
1056,2/28/2019,4.8,4.6345463,0.16545372
1056,3/31/2019,4.6,4.6836033,0.083603287
1056,4/30/2019,4.5,4.5326037,0.032603741
1056,5/31/2019,4.5,4.4059305,0.094069481
1056,6/30/2019,4.5,4.5039363,0.003936291
1056,7/31/2019,4.7,4.50423,0.195769978
1056,8/31/2019,4.5,4.454995,0.045004845
1056,9/30/2019,4.3,4.330196,0.030195904
1056,10/31/2019,4.3,4.1649017,0.135098267
1056,11/30/2019,4.3,4.121659,0.178341198
1056,12/31/2019,4.5,4.267091,0.232909203
1057,1/31/2018,5.3,5.185629,0.114371109
1057,2/28/2018,5.2,5.1796455,0.020354462
1057,3/31/2018,4.9,5.0777173,0.177717304
1057,4/30/2018,4.6,4.858818,0.258818054
1057,5/31/2018,4.3,4.6833777,0.383377743
1057,6/30/2018,4.1,4.7665153,0.666515255
1057,7/31/2018,4.3,4.4606586,0.16065855
1057,8/31/2018,4.4,4.5061088,0.106108761
1057,9/30/2018,4.2,4.506892,0.306892204
1057,10/31/2018,4.1,4.281083,0.181083107
1057,11/30/2018,4.1,4.3476734,0.247673416
1057,12/31/2018,4.2,4.5309043,0.330904293
1057,1/31/2019,4.7,4.5767574,0.123242569
1057,2/28/2019,4.5,4.629526,0.129526138
1057,3/31/2019,4.3,4.6001186,0.300118637
1057,4/30/2019,4,4.288195,0.288195133
1057,5/31/2019,3.9,4.119938,0.219937897
1057,6/30/2019,3.8,4.16409,0.364090157
1057,7/31/2019,4,4.0156116,0.015611649
1057,8/31/2019,3.9,4.0604734,0.160473442
1057,9/30/2019,3.8,4.0164785,0.216478539
1057,10/31/2019,3.8,3.7659037,0.034096289
1057,11/30/2019,3.9,3.8232775,0.076722527
1057,12/31/2019,4,3.982426,0.017574072
1058,1/31/2018,5,4.7765484,0.223451614
1058,2/28/2018,4.8,4.776757,0.023243237
1058,3/31/2018,4.7,4.796158,0.096157837
1058,4/30/2018,4.5,4.72136,0.221360207
1058,5/31/2018,4.3,4.6137776,0.313777637
1058,6/30/2018,4.2,4.747601,0.547601032
1058,7/31/2018,4.3,4.5044713,0.204471302
1058,8/31/2018,4.3,4.565676,0.265676212
1058,9/30/2018,4,4.5198655,0.519865513
1058,10/31/2018,4,4.1565576,0.15655756
1058,11/30/2018,3.9,4.2356043,0.335604286
1058,12/31/2018,3.9,4.3393774,0.439377403
1058,1/31/2019,4.3,4.2975802,0.002419758
1058,2/28/2019,4.2,4.324278,0.124277878
1058,3/31/2019,4,4.3654227,0.365422726
