id,ags2,bundesland,ags5,kreis,kr_opnv_d,kr_opnv_b,kr_sm_b,kr_sm_d,kr_opnv_idx,kr_dist_bush,kr_dist_bhf,kr_dist_opnv,kr_dist_ustrab
216,8,Baden-Württemberg,8417,Zollernalbkreis,322,97,61,1150,36,598,2583,524,-99
217,8,Baden-Württemberg,8421,Ulm,201,100,86,576,65,288,1939,261,1871
218,8,Baden-Württemberg,8425,Alb-Donau-Kreis,402,94,60,1383,37,531,2886,522,6613
219,8,Baden-Württemberg,8426,Biberach,435,93,56,1462,32,513,4139,512,-99
220,8,Baden-Württemberg,8435,Bodenseekreis,304,96,72,873,37,397,2544,389,-99
221,8,Baden-Württemberg,8436,Ravensburg,564,87,66,1181,36,497,3228,475,-99
222,8,Baden-Württemberg,8437,Sigmaringen,656,84,48,1838,35,752,2963,718,-99
223,9,Freistaat Bayern,9161,Ingolstadt,193,100,88,517,37,300,2189,300,-99
224,9,Freistaat Bayern,9162,München,206,100,98,330,70,318,727,266,1025
225,9,Freistaat Bayern,9163,Rosenheim,179,100,94,427,38,232,1381,228,-99
226,9,Freistaat Bayern,9171,Altötting,1592,58,71,974,36,732,2224,672,-99
227,9,Freistaat Bayern,9172,Berchtesgadener Land,693,81,72,928,37,468,2287,457,-99
228,9,Freistaat Bayern,9173,Bad Tölz-Wolfratshausen,688,83,71,1047,36,542,3362,531,9693
229,9,Freistaat Bayern,9174,Dachau,358,93,69,1033,38,470,2361,444,7730
230,9,Freistaat Bayern,9175,Ebersberg,436,92,80,779,37,460,2046,439,8149
231,9,Freistaat Bayern,9176,Eichstätt,988,77,50,1728,30,536,4508,510,-99
232,9,Freistaat Bayern,9177,Erding,657,82,55,1300,31,675,4192,660,9013
233,9,Freistaat Bayern,9178,Freising,661,84,69,1123,36,764,3091,707,7029
234,9,Freistaat Bayern,9179,Fürstenfeldbruck,215,100,83,758,42,375,1669,367,5954
235,9,Freistaat Bayern,9180,Garmisch-Partenkirchen,429,94,77,876,38,462,1418,411,-99
236,9,Freistaat Bayern,9181,Landsberg am Lech,581,86,61,1351,36,478,2904,455,9371
237,9,Freistaat Bayern,9182,Miesbach,830,77,64,1249,37,586,1909,540,-99
238,9,Freistaat Bayern,9183,Mühldorf a.Inn,1251,69,62,1250,36,538,2829,513,-99
239,9,Freistaat Bayern,9184,München,270,98,88,615,59,429,1134,390,3917
240,9,Freistaat Bayern,9185,Neuburg-Schrobenhausen,2452,46,52,1637,35,549,3664,546,-99
241,9,Freistaat Bayern,9186,Pfaffenhofen a.d.Ilm,1940,47,59,1348,33,596,3870,585,-99
242,9,Freistaat Bayern,9187,Rosenheim,1066,67,63,1098,37,417,2597,392,-99
243,9,Freistaat Bayern,9188,Starnberg,357,96,74,824,38,507,1590,484,7060
244,9,Freistaat Bayern,9189,Traunstein,1190,69,63,1136,36,566,3106,530,-99
245,9,Freistaat Bayern,9190,Weilheim-Schongau,795,80,72,1053,37,642,2336,617,-99
246,9,Freistaat Bayern,9261,Landshut,172,100,80,621,37,329,1922,327,-99
247,9,Freistaat Bayern,9262,Passau,177,100,85,625,37,329,1872,329,-99
248,9,Freistaat Bayern,9263,Straubing,855,66,87,545,39,211,1227,201,-99
249,9,Freistaat Bayern,9271,Deggendorf,881,75,63,1056,32,355,4099,354,-99
250,9,Freistaat Bayern,9272,Freyung-Grafenau,4338,20,44,1504,30,955,4225,914,-99
251,9,Freistaat Bayern,9273,Kelheim,1279,69,57,1537,27,533,4217,532,-99
252,9,Freistaat Bayern,9274,Landshut,1803,54,56,1523,30,663,4442,651,-99
253,9,Freistaat Bayern,9275,Passau,730,78,54,1370,27,1060,4728,1037,-99
254,9,Freistaat Bayern,9276,Regen,776,75,51,1487,37,641,2703,610,-99
255,9,Freistaat Bayern,9277,Rottal-Inn,1771,51,48,1786,30,1280,3660,1234,-99
256,9,Freistaat Bayern,9278,Straubing-Bogen,2659,39,43,1712,27,549,4702,542,-99
257,9,Freistaat Bayern,9279,Dingolfing-Landau,3478,31,51,1616,33,536,3803,527,-99
258,9,Freistaat Bayern,9361,Amberg,172,99,89,600,40,195,1751,195,-99
259,9,Freistaat Bayern,9362,Regensburg,183,100,94,463,37,221,2034,220,-99
