ags2,bundesland,ags5,kreis
9,Freistaat Bayern,9561,"Ansbach, Stadt"
9,Freistaat Bayern,9562,Erlangen
9,Freistaat Bayern,9563,"Fürth, Stadt"
9,Freistaat Bayern,9564,Nürnberg
9,Freistaat Bayern,9565,Schwabach
9,Freistaat Bayern,9571,"Ansbach, Kreis"
9,Freistaat Bayern,9572,Erlangen-Höchstadt
9,Freistaat Bayern,9573,"Fürth, Kreis"
9,Freistaat Bayern,9574,Nürnberger Land
9,Freistaat Bayern,9575,Neustadt a.d.Aisch-Bad Windsheim
9,Freistaat Bayern,9576,Roth
9,Freistaat Bayern,9577,Weißenburg-Gunzenhausen
9,Freistaat Bayern,9661,"Aschaffenburg, Stadt"
9,Freistaat Bayern,9662,"Schweinfurt, Stadt"
9,Freistaat Bayern,9663,"Würzburg, Stadt"
9,Freistaat Bayern,9671,"Aschaffenburg, Kreis"
9,Freistaat Bayern,9672,Bad Kissingen
9,Freistaat Bayern,9673,Rhön-Grabfeld
9,Freistaat Bayern,9674,Haßberge
9,Freistaat Bayern,9675,Kitzingen
9,Freistaat Bayern,9676,Miltenberg
9,Freistaat Bayern,9677,Main-Spessart
9,Freistaat Bayern,9678,"Schweinfurt, Kreis"
9,Freistaat Bayern,9679,"Würzburg, Kreis"
9,Freistaat Bayern,9761,"Augsburg, Stadt"
9,Freistaat Bayern,9762,Kaufbeuren
9,Freistaat Bayern,9763,Kempten (Allgäu)
9,Freistaat Bayern,9764,Memmingen
9,Freistaat Bayern,9771,Aichach-Friedberg
9,Freistaat Bayern,9772,"Augsburg, Kreis"
9,Freistaat Bayern,9773,Dillingen a.d.Donau
9,Freistaat Bayern,9774,Günzburg
9,Freistaat Bayern,9775,Neu-Ulm
9,Freistaat Bayern,9776,Lindau (Bodensee)
9,Freistaat Bayern,9777,Ostallgäu
9,Freistaat Bayern,9778,Unterallgäu
9,Freistaat Bayern,9779,Donau-Ries
9,Freistaat Bayern,9780,Oberallgäu
10,Saarland,10041,Regionalverband Saarbrücken
10,Saarland,10042,Landkreis Merzig-Wadern
10,Saarland,10043,Landkreis Neunkirchen
10,Saarland,10044,Landkreis Saarlouis
10,Saarland,10045,Saarpfalz-Kreis
10,Saarland,10046,Landkreis St. Wendel
11,Berlin,11000,Berlin
12,Brandenburg,12051,Brandenburg an der Havel
12,Brandenburg,12052,Cottbus
12,Brandenburg,12053,Frankfurt (Oder)
12,Brandenburg,12054,Potsdam
12,Brandenburg,12060,Barnim
12,Brandenburg,12061,Dahme-Spreewald
12,Brandenburg,12062,Elbe-Elster
12,Brandenburg,12063,Havelland
12,Brandenburg,12064,Märkisch-Oderland
12,Brandenburg,12065,Oberhavel
12,Brandenburg,12066,Oberspreewald-Lausitz
12,Brandenburg,12067,Oder-Spree
12,Brandenburg,12068,Ostprignitz-Ruppin
12,Brandenburg,12069,Potsdam-Mittelmark
12,Brandenburg,12070,Prignitz
12,Brandenburg,12071,Spree-Neiße
12,Brandenburg,12072,Teltow-Fläming
12,Brandenburg,12073,Uckermark
13,Mecklenburg-Vorpommern,13003,"Rostock, Hansestadt"
13,Mecklenburg-Vorpommern,13004,"Schwerin, Landeshauptstadt"
13,Mecklenburg-Vorpommern,13071,Mecklenburgische Seenplatte
13,Mecklenburg-Vorpommern,13072,Landkreis Rostock
13,Mecklenburg-Vorpommern,13073,Vorpommern-Rügen
13,Mecklenburg-Vorpommern,13074,Nordwestmecklenburg
13,Mecklenburg-Vorpommern,13075,Vorpommern-Greifswald
13,Mecklenburg-Vorpommern,13076,Ludwigslust-Parchim
14,Sachsen,14511,Chemnitz
14,Sachsen,14521,Erzgebirgskreis
14,Sachsen,14522,Mittelsachsen
14,Sachsen,14523,Vogtlandkreis
14,Sachsen,14524,Zwickau
14,Sachsen,14612,Dresden
14,Sachsen,14625,Bautzen
14,Sachsen,14626,Görlitz
14,Sachsen,14627,Meißen
14,Sachsen,14628,Sächsische Schweiz-Osterzgebirge
14,Sachsen,14713,"Leipzig, Stadt"
14,Sachsen,14729,"Leipzig, Kreis"
14,Sachsen,14730,Nordsachsen
15,Sachsen-Anhalt,15001,Dessau-Roßlau
15,Sachsen-Anhalt,15002,Halle (Saale)
15,Sachsen-Anhalt,15003,Magdeburg
15,Sachsen-Anhalt,15081,Altmarkkreis Salzwedel
15,Sachsen-Anhalt,15082,Anhalt-Bitterfeld
15,Sachsen-Anhalt,15083,Börde
15,Sachsen-Anhalt,15084,Burgenlandkreis
15,Sachsen-Anhalt,15085,Harz
15,Sachsen-Anhalt,15086,Jerichower Land
15,Sachsen-Anhalt,15087,Mansfeld-Südharz
15,Sachsen-Anhalt,15088,Saalekreis
15,Sachsen-Anhalt,15089,Salzlandkreis
15,Sachsen-Anhalt,15090,Stendal
15,Sachsen-Anhalt,15091,Wittenberg
