_id,ags2,bundesland,ags5,kreis,kr_amr,kr_ead,kr_land,kr_mz,kr_oz,kr_ror,kr_rbp,kr_wa_schr_kl,kr_amt_kl,kr_grw_fg_kl,kr_sr_am_kl,kr_rl_kl,kr_ssk_kl,kr_ssr_kl,kr_stla_kl,kr_mra_kl,kr_mrb_kl,kr_wo_kl,kr_grenze
108,05,Nordrhein-Westfalen,05915,Hamm,73,1046.6,0.0,1,0,506,57123.1,3,3,6,1,1,1,1,1,3,1,1,0
109,05,Nordrhein-Westfalen,05916,Herne,63,3904.5,0.0,1,0,504,154420.6,3,3,1,1,1,1,1,1,3,1,1,0
110,05,Nordrhein-Westfalen,05954,Ennepe-Ruhr-Kreis,53,1050.5,0.0,8,0,504,141232.6,3,5,8,1,1,2,1,1,3,1,1,0
111,05,Nordrhein-Westfalen,05958,Hochsauerlandkreis,76,186.3,67.6,7,0,502,24733.6,2,4,8,2,2,3,2,2,99,99,1,0
112,05,Nordrhein-Westfalen,05962,Märkischer Kreis,75,540.3,1.7,8,0,504,67006.2,1,4,8,1,1,2,1,1,99,1,1,0
113,05,Nordrhein-Westfalen,05966,Olpe,78,269.7,8.6,3,0,513,35282.9,2,6,8,1,2,2,2,1,99,99,1,0
114,05,Nordrhein-Westfalen,05970,Siegen-Wittgenstein,77,346.3,14.4,4,1,513,27442.7,4,6,8,1,2,2,2,1,99,99,1,0
115,05,Nordrhein-Westfalen,05974,Soest,79,309.2,18.8,5,0,502,38237.8,4,4,8,1,2,2,2,1,99,99,1,0
116,05,Nordrhein-Westfalen,05978,Unna,73,956.4,0.0,7,0,506,90832.0,2,3,4,1,1,2,1,1,3,1,1,0
117,06,Hessen,06411,Kreisfreie Stadt Darmstadt,94,2123.6,0.0,0,1,605,79369.0,5,4,8,1,1,1,1,1,4,99,1,0
118,06,Hessen,06412,Kreisfreie Stadt Frankfurt am Main,92,5282.5,0.0,0,1,604,83893.6,5,2,8,1,1,1,1,1,4,99,1,0
119,06,Hessen,06413,Kreisfreie Stadt Offenbach am Main,92,3877.7,0.0,0,1,604,107448.9,5,5,8,1,1,1,1,1,4,99,1,0
120,06,Hessen,06414,Landeshauptstadt Wiesbaden,91,2024.1,0.0,0,1,604,70397.3,4,1,8,1,1,1,1,1,4,99,1,0
121,06,Hessen,06431,Bergstraße,130,474.9,5.2,6,0,605,64742.2,4,4,8,1,1,2,1,1,4,4,1,0
122,06,Hessen,06432,Darmstadt-Dieburg,94,562.6,0.0,5,0,605,70887.9,4,4,8,1,1,2,1,1,4,99,1,0
123,06,Hessen,06433,Groß-Gerau,92,815.5,0.0,3,0,605,87193.3,4,1,8,1,1,2,1,1,4,99,1,0
124,06,Hessen,06434,Hochtaunus,92,681.9,5.0,6,0,604,74921.2,4,1,8,1,1,2,1,1,4,99,1,0
125,06,Hessen,06435,Main-Kinzig,93,394.5,13.3,7,1,604,37992.9,4,4,8,1,1,2,1,1,4,99,1,0
126,06,Hessen,06436,Main-Taunus,92,1508.1,0.0,8,0,604,104007.7,4,1,8,1,1,2,1,1,4,99,1,0
127,06,Hessen,06437,Odenwaldkreis,95,198.3,21.9,2,0,605,44455.3,2,4,8,1,2,2,1,1,4,99,1,0
128,06,Hessen,06438,Offenbach,92,1330.4,0.0,10,0,604,96171.0,5,5,8,1,1,2,1,1,4,99,1,0
129,06,Hessen,06439,Rheingau-Taunus,91,284.8,12.4,6,0,604,53425.1,4,1,8,1,2,2,1,1,4,99,1,0
130,06,Hessen,06440,Wetterau,92,354.1,10.6,6,0,604,49623.6,4,4,8,1,1,2,1,1,4,99,1,0
131,06,Hessen,06531,Gießen,89,423.6,10.2,4,1,601,34272.5,5,4,7,1,2,2,3,1,4,99,1,0
132,06,Hessen,06532,Lahn-Dill,88,324.7,14.5,3,1,601,34047.2,3,4,8,1,2,2,3,1,99,99,1,0
133,06,Hessen,06533,Limburg-Weilburg,90,303.7,12.1,2,0,601,40537.3,4,4,8,1,2,2,3,1,4,99,1,0
134,06,Hessen,06534,Marburg-Biedenkopf,85,266.7,20.1,4,1,601,23100.5,4,4,8,2,2,3,3,2,99,99,1,0
135,06,Hessen,06535,Vogelsberg,86,94.7,100.0,2,0,601,18729.6,2,4,6,3,3,4,3,2,4,99,1,0
136,06,Hessen,06611,Kreisfreie Stadt Kassel,81,2909.2,0.0,0,1,602,26095.0,4,5,8,1,2,1,2,1,99,99,1,0
137,06,Hessen,06631,Fulda,87,227.2,44.4,1,1,603,16226.4,4,6,8,2,3,3,3,2,4,99,1,0
138,06,Hessen,06632,Hersfeld-Rotenburg,84,153.9,45.7,4,0,603,15267.1,3,6,7,3,3,4,3,2,99,99,1,0
139,06,Hessen,06633,Kassel,81,239.8,24.5,4,0,602,25125.6,3,5,8,1,2,2,2,1,99,99,1,0
140,06,Hessen,06634,Schwalm-Eder,83,152.4,50.3,5,0,602,18797.2,2,7,8,2,3,3,2,2,99,99,1,0
141,06,Hessen,06635,Waldeck-Frankenberg,80,118.7,85.0,6,0,602,16780.6,3,7,6,3,3,4,2,2,99,99,1,0
142,06,Hessen,06636,Werra-Meißner,82,125.9,74.2,4,0,602,18315.3,2,5,1,3,3,4,2,2,99,99,1,0
