ags5,date,ground_truth,pred,error,mape
05362,2021-02-28,7.4,7.471476471622445,0.07147647162244475,0.009658982651681722
05362,2021-03-31,7.3,7.381487930364677,0.08148793036467694,0.011162730186942048
05362,2021-04-30,7.2,7.520205145381164,0.3202051453811636,0.044472936858494946
05366,2021-02-28,6.2,6.196739810658843,0.003260189341157016,0.0005258369905091962
05366,2021-03-31,6.1,6.151491343056131,0.051491343056131456,0.008441203779693682
05366,2021-04-30,6.1,6.245007776793512,0.14500777679351273,0.023771766687461105
05370,2021-02-28,6.0,6.027011170154538,0.027011170154538355,0.004501861692423059
05370,2021-03-31,5.8,6.0438857905469465,0.2438857905469467,0.04204927423223219
05370,2021-04-30,5.8,6.190947412087749,0.3909474120877494,0.06740472622202576
05374,2021-02-28,6.1,6.213239539136264,0.11323953913626461,0.018563858874797477
05374,2021-03-31,5.9,6.1300847647490855,0.23008476474908512,0.03899741775408222
05374,2021-04-30,5.8,6.259204122985667,0.4592041229856676,0.07917312465270131
05378,2021-02-28,6.5,6.478473159622121,0.021526840377878997,0.003311821596596769
05378,2021-03-31,6.3,6.471865284728599,0.1718652847285993,0.027280203925174492
05378,2021-04-30,6.3,6.579928777117798,0.2799287771177985,0.04443313922504739
05382,2021-02-28,5.9,6.098788190179375,0.19878819017937488,0.03369291358972455
05382,2021-03-31,5.8,6.055026618146393,0.2550266181463936,0.043970106576964416
05382,2021-04-30,5.8,6.248555928472943,0.4485559284729428,0.0773372290470591
05512,2021-02-28,8.7,8.926662338251203,0.22666233825120408,0.02605314232772461
05512,2021-03-31,8.6,8.789222610238362,0.18922261023836207,0.02200262909748396
05512,2021-04-30,8.3,8.91086129460477,0.6108612946047689,0.07359774633792396
05513,2021-02-28,15.8,15.702595455500846,0.09740454449915426,0.006164844588554067
05513,2021-03-31,15.6,15.563583659422696,0.03641634057730414,0.002334380806237445
05513,2021-04-30,15.4,15.9138016608923,0.5138016608923,0.03336374421378571
05515,2021-02-28,5.3,5.27109112848339,0.02890887151660948,0.005454504059737638
05515,2021-03-31,5.2,5.265505871133646,0.06550587113364603,0.012597282910316544
05515,2021-04-30,5.2,5.432406754546379,0.23240675454637838,0.0446936066435343
05554,2021-02-28,4.0,4.100141984085083,0.10014198408508257,0.025035496021270642
05554,2021-03-31,3.9,4.004090154140823,0.10409015414082345,0.026689783113031655
05554,2021-04-30,3.8,4.244962347937297,0.44496234793729705,0.11709535472034134
05558,2021-02-28,3.2,3.261186391197439,0.06118639119743863,0.01912074724919957
05558,2021-03-31,3.1,3.196733769041938,0.09673376904193809,0.031204441626431642
